number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
107,0.7441373698965283,TrialState.COMPLETE,32,3,16,3,0.00014456903096358008,4,5,3,0.1,1.5020463466644287,"{'0': 18, '1': 56, '2': 18, '3': 29}",0.5844954152078727,20,0.7441373698965283,0.585150420665741,149,42
108,0.8804299367037073,TrialState.COMPLETE,32,3,16,3,0.00032869730599539913,4,5,3,0.1,1.3517794609069824,"{'0': 53, '1': 30, '2': 21, '3': 17}",0.25268006363180795,20,0.8804299367037073,0.8312668800354004,150,42
109,-999.0,TrialState.COMPLETE,32,3,16,3,0.00017480468464587556,4,5,3,0.1,1.4081494808197021,"{'0': 47, '1': 15, '2': 45, '3': 14}",,20,-999.0,,151,42
110,0.7379363927066089,TrialState.COMPLETE,32,3,16,3,0.0003065910304152132,4,5,3,0.1,1.3263366222381592,"{'0': 36, '1': 28, '2': 34, '3': 23}",0.5933324189341805,20,0.7379363927066089,0.5704336166381836,152,42
111,0.7668866415131764,TrialState.COMPLETE,32,3,16,3,0.0001770960632580702,4,5,3,0.1,1.505492627620697,"{'0': 52, '1': 26, '2': 23, '3': 22}",0.495347817681569,20,0.7668866415131764,0.6178983449935913,153,42
112,-999.0,TrialState.COMPLETE,32,3,16,3,0.00016314125085960425,4,5,3,0.1,1.4650171399116516,"{'0': 47, '1': 25, '2': 23, '3': 27}",,20,-999.0,,154,42
113,0.7478889047166211,TrialState.COMPLETE,32,3,16,3,0.0002466701797308615,4,5,3,0.1,1.384402871131897,"{'0': 23, '1': 45, '2': 37, '3': 17}",0.5117908851567807,20,0.7478889047166211,0.5698536038398743,155,42
114,-999.0,TrialState.COMPLETE,32,3,16,3,0.0002502766120898189,4,5,3,0.1,1.3921876549720764,"{'0': 29, '1': 42, '2': 16, '3': 35}",,20,-999.0,,156,42
115,0.8361996022801247,TrialState.COMPLETE,32,3,16,3,0.00024621161246104773,4,5,3,0.1,1.3668955564498901,"{'0': 37, '1': 37, '2': 12, '3': 37}",0.3245559888026741,20,0.8361996022801247,0.7420246005058289,157,42
116,0.7861977408490183,TrialState.COMPLETE,32,3,16,3,0.00024778044426242266,4,5,3,0.1,1.4265238642692566,"{'0': 27, '1': 29, '2': 45, '3': 21}",0.4063665232413798,20,0.7861977408490183,0.6368059515953064,158,42
117,0.7576448092071615,TrialState.COMPLETE,32,3,16,3,0.00031613302389534145,4,5,3,0.1,1.3612785339355469,"{'0': 25, '1': 31, '2': 41, '3': 24}",0.5338504115599103,20,0.7576448092071615,0.6058816909790039,159,42
118,0.8001960652301747,TrialState.COMPLETE,32,3,16,3,0.00019594289633320587,4,5,3,0.1,1.44536292552948,"{'0': 45, '1': 37, '2': 24, '3': 15}",0.4162762774817818,20,0.8001960652301747,0.6810656785964966,160,42
119,0.8177704570780355,TrialState.COMPLETE,32,3,16,3,0.00019022874563963727,4,5,3,0.1,1.4057554602622986,"{'0': 31, '1': 53, '2': 12, '3': 25}",0.33853062399829814,20,0.8177704570780355,0.6961259841918945,161,42
120,0.7474862231208397,TrialState.COMPLETE,32,3,16,3,0.00019550343474570003,4,15,3,0.3,1.4639764428138733,"{'0': 25, '1': 31, '2': 38, '3': 27}",0.5542980927271817,20,0.7474862231208397,0.5842087268829346,162,42
121,0.7509467291280587,TrialState.COMPLETE,32,3,16,7,0.00019549723314554672,4,5,5,0.3,1.3933074474334717,"{'0': 47, '1': 21, '2': 18, '3': 35}",0.5249717711185765,20,0.7509467291280587,0.583490788936615,163,42
